Kankersoort;Periode;Geslacht;Leeftijdsgroep;Aantal
Hoofd-halskanker;2007;Man;Totaal;1777
Hoofd-halskanker;2007;Man;0-14;2
Hoofd-halskanker;2007;Man;75+;355
Hoofd-halskanker;2007;Man;45-59;537
Hoofd-halskanker;2007;Man;30-44;79
Hoofd-halskanker;2007;Man;60-74;793
Hoofd-halskanker;2008;Man;15-29;10
Hoofd-halskanker;2008;Man;Totaal;1978
Hoofd-halskanker;2008;Man;0-14;2
Hoofd-halskanker;2008;Man;75+;359
Hoofd-halskanker;2008;Man;45-59;592
Hoofd-halskanker;2008;Man;30-44;84
Hoofd-halskanker;2008;Man;60-74;931
Hoofd-halskanker;2009;Man;0-14;1
Hoofd-halskanker;2009;Man;15-29;14
Hoofd-halskanker;2009;Man;Totaal;1964
Hoofd-halskanker;2009;Man;75+;373
Hoofd-halskanker;2009;Man;45-59;610
Hoofd-halskanker;2009;Man;30-44;64
Hoofd-halskanker;2009;Man;60-74;902
Hoofd-halskanker;2010;Man;0-14;0
Hoofd-halskanker;2010;Man;15-29;10
Hoofd-halskanker;2010;Man;Totaal;1961
Hoofd-halskanker;2010;Man;75+;379
Hoofd-halskanker;2010;Man;45-59;544
Hoofd-halskanker;2010;Man;30-44;84
Hoofd-halskanker;2010;Man;60-74;944
Hoofd-halskanker;2011;Man;0-14;0
Hoofd-halskanker;2011;Man;15-29;10
Hoofd-halskanker;2011;Man;Totaal;2091
Hoofd-halskanker;2011;Man;75+;432
Hoofd-halskanker;2011;Man;45-59;582
Hoofd-halskanker;2011;Man;30-44;85
Hoofd-halskanker;2011;Man;60-74;982
Hoofd-halskanker;2012;Man;0-14;0
Hoofd-halskanker;2012;Man;Totaal;2031
Hoofd-halskanker;2012;Man;15-29;3
Hoofd-halskanker;2012;Man;75+;396
Hoofd-halskanker;2012;Man;30-44;57
Hoofd-halskanker;2012;Man;45-59;589
Hoofd-halskanker;2012;Man;60-74;986
Hoofd-halskanker;2013;Man;0-14;0
Hoofd-halskanker;2013;Man;15-29;15
Hoofd-halskanker;2013;Man;Totaal;1983
Hoofd-halskanker;2013;Man;75+;385
Hoofd-halskanker;2013;Man;45-59;533
Hoofd-halskanker;2013;Man;30-44;63
Hoofd-halskanker;2013;Man;60-74;987
Hoofd-halskanker;2014;Man;0-14;0
Hoofd-halskanker;2014;Man;60-74;1005
Hoofd-halskanker;2014;Man;15-29;12
Hoofd-halskanker;2014;Man;Totaal;2022
Hoofd-halskanker;2014;Man;75+;427
Hoofd-halskanker;2014;Man;45-59;519
Hoofd-halskanker;2014;Man;30-44;59
Hoofd-halskanker;2015;Man;0-14;1
Hoofd-halskanker;2015;Man;60-74;1039
Hoofd-halskanker;2015;Man;15-29;13
Hoofd-halskanker;2015;Man;Totaal;2045
Hoofd-halskanker;2015;Man;75+;432
Hoofd-halskanker;2015;Man;45-59;499
Hoofd-halskanker;2015;Man;30-44;61
Hoofd-halskanker;2016;Man;0-14;0
Hoofd-halskanker;2016;Man;60-74;1106
Hoofd-halskanker;2016;Man;Totaal;2102
Hoofd-halskanker;2016;Man;75+;433
Hoofd-halskanker;2016;Man;30-44;46
Hoofd-halskanker;2016;Man;45-59;508
Hoofd-halskanker;2016;Man;15-29;9
Hoofd-halskanker;2017;Man;0-14;1
Hoofd-halskanker;2017;Man;60-74;1046
Hoofd-halskanker;2017;Man;Totaal;2039
Hoofd-halskanker;2017;Man;75+;461
Hoofd-halskanker;2017;Man;45-59;468
Hoofd-halskanker;2017;Man;30-44;55
Hoofd-halskanker;2017;Man;15-29;8
Hoofd-halskanker;2018;Man;15-29;10
Hoofd-halskanker;2018;Man;60-74;1049
Hoofd-halskanker;2018;Man;Totaal;2057
Hoofd-halskanker;2018;Man;0-14;3
Hoofd-halskanker;2018;Man;45-59;458
Hoofd-halskanker;2018;Man;75+;488
Hoofd-halskanker;2018;Man;30-44;49
Hoofd-halskanker;1994;Vrouw;75+;152
Hoofd-halskanker;1994;Vrouw;45-59;172
Hoofd-halskanker;1994;Vrouw;0-14;2
Hoofd-halskanker;1994;Vrouw;60-74;206
Hoofd-halskanker;1994;Vrouw;15-29;4
Hoofd-halskanker;1994;Vrouw;30-44;49
Hoofd-halskanker;1994;Vrouw;Totaal;585
Hoofd-halskanker;1995;Vrouw;0-14;0
Hoofd-halskanker;1995;Vrouw;75+;139
Hoofd-halskanker;1995;Vrouw;45-59;204
Hoofd-halskanker;1995;Vrouw;60-74;223
Hoofd-halskanker;1995;Vrouw;30-44;46
Hoofd-halskanker;1995;Vrouw;15-29;5
Hoofd-halskanker;1995;Vrouw;Totaal;617
Hoofd-halskanker;1996;Vrouw;15-29;11
Hoofd-halskanker;1996;Vrouw;75+;173
Hoofd-halskanker;1996;Vrouw;45-59;209
Hoofd-halskanker;1996;Vrouw;60-74;243
Hoofd-halskanker;1996;Vrouw;0-14;3
Hoofd-halskanker;1996;Vrouw;30-44;41
Hoofd-halskanker;1996;Vrouw;Totaal;680
Hoofd-halskanker;1997;Vrouw;0-14;1
Hoofd-halskanker;1997;Vrouw;75+;149
Hoofd-halskanker;1997;Vrouw;60-74;231
Hoofd-halskanker;1997;Vrouw;45-59;243
Hoofd-halskanker;1997;Vrouw;30-44;45
Hoofd-halskanker;1997;Vrouw;Totaal;676
Hoofd-halskanker;1997;Vrouw;15-29;7
Hoofd-halskanker;1998;Vrouw;0-14;0
Hoofd-halskanker;1998;Vrouw;75+;185
Hoofd-halskanker;1998;Vrouw;45-59;215
Hoofd-halskanker;1998;Vrouw;60-74;218
Hoofd-halskanker;1998;Vrouw;30-44;50
Hoofd-halskanker;1998;Vrouw;Totaal;675
Hoofd-halskanker;1998;Vrouw;15-29;7
Hoofd-halskanker;1999;Vrouw;0-14;1
Hoofd-halskanker;1999;Vrouw;15-29;10
Hoofd-halskanker;1999;Vrouw;75+;152
Hoofd-halskanker;1999;Vrouw;45-59;237
Hoofd-halskanker;1999;Vrouw;60-74;237
Hoofd-halskanker;1999;Vrouw;30-44;35
Hoofd-halskanker;1999;Vrouw;Totaal;672
Hoofd-halskanker;2000;Vrouw;0-14;1
Hoofd-halskanker;2000;Vrouw;75+;168
Hoofd-halskanker;2000;Vrouw;45-59;235
Hoofd-halskanker;2000;Vrouw;60-74;259
Hoofd-halskanker;2000;Vrouw;30-44;42
Hoofd-halskanker;2000;Vrouw;Totaal;713
Hoofd-halskanker;2000;Vrouw;15-29;8
Hoofd-halskanker;2001;Vrouw;15-29;15
Hoofd-halskanker;2001;Vrouw;75+;203
Hoofd-halskanker;2001;Vrouw;45-59;255
Hoofd-halskanker;2001;Vrouw;60-74;260
Hoofd-halskanker;2001;Vrouw;0-14;3
Hoofd-halskanker;2001;Vrouw;30-44;52
Hoofd-halskanker;2001;Vrouw;Totaal;788
Hoofd-halskanker;2002;Vrouw;15-29;11
Hoofd-halskanker;2002;Vrouw;75+;167
Hoofd-halskanker;2002;Vrouw;0-14;2
Hoofd-halskanker;2002;Vrouw;60-74;223
Hoofd-halskanker;2002;Vrouw;45-59;252
Hoofd-halskanker;2002;Vrouw;30-44;42
Hoofd-halskanker;2002;Vrouw;Totaal;697
Hoofd-halskanker;2003;Vrouw;0-14;1
Hoofd-halskanker;2003;Vrouw;75+;180
Hoofd-halskanker;2003;Vrouw;45-59;261
Hoofd-halskanker;2003;Vrouw;60-74;280
Hoofd-halskanker;2003;Vrouw;15-29;4
Hoofd-halskanker;2003;Vrouw;30-44;53
Hoofd-halskanker;2003;Vrouw;Totaal;779
Hoofd-halskanker;2004;Vrouw;0-14;1
Hoofd-halskanker;2004;Vrouw;75+;204
Hoofd-halskanker;2004;Vrouw;45-59;257
Hoofd-halskanker;2004;Vrouw;60-74;258
Hoofd-halskanker;2004;Vrouw;30-44;51
Hoofd-halskanker;2004;Vrouw;Totaal;780
Hoofd-halskanker;2004;Vrouw;15-29;9
Hoofd-halskanker;2005;Vrouw;0-14;1
Hoofd-halskanker;2005;Vrouw;75+;183
Hoofd-halskanker;2005;Vrouw;45-59;286
Hoofd-halskanker;2005;Vrouw;60-74;294
Hoofd-halskanker;2005;Vrouw;30-44;38
Hoofd-halskanker;2005;Vrouw;15-29;6
Hoofd-halskanker;2005;Vrouw;Totaal;808
Hoofd-halskanker;2006;Vrouw;0-14;0
Hoofd-halskanker;2006;Vrouw;15-29;12
Hoofd-halskanker;2006;Vrouw;75+;210
Hoofd-halskanker;2006;Vrouw;45-59;267
Hoofd-halskanker;2006;Vrouw;30-44;34
Hoofd-halskanker;2006;Vrouw;60-74;340
Hoofd-halskanker;2006;Vrouw;Totaal;863
Hoofd-halskanker;2007;Vrouw;0-14;0
Hoofd-halskanker;2007;Vrouw;75+;234
Hoofd-halskanker;2007;Vrouw;45-59;271
Hoofd-halskanker;2007;Vrouw;60-74;319
Hoofd-halskanker;2007;Vrouw;30-44;53
Hoofd-halskanker;2007;Vrouw;Totaal;886
Hoofd-halskanker;2007;Vrouw;15-29;9
Hoofd-halskanker;2008;Vrouw;15-29;16
Hoofd-halskanker;2008;Vrouw;75+;215
Hoofd-halskanker;2008;Vrouw;45-59;262
Hoofd-halskanker;2008;Vrouw;0-14;3
Hoofd-halskanker;2008;Vrouw;60-74;361
Hoofd-halskanker;2008;Vrouw;30-44;50
Hoofd-halskanker;2008;Vrouw;Totaal;907
Hoofd-halskanker;2009;Vrouw;0-14;1
Hoofd-halskanker;2009;Vrouw;15-29;10
Hoofd-halskanker;2009;Vrouw;75+;241
Hoofd-halskanker;2009;Vrouw;45-59;271
Hoofd-halskanker;2009;Vrouw;60-74;393
Hoofd-halskanker;2009;Vrouw;30-44;50
Hoofd-halskanker;2009;Vrouw;Totaal;966
Hoofd-halskanker;2010;Vrouw;0-14;2
Hoofd-halskanker;2010;Vrouw;75+;223
Hoofd-halskanker;2010;Vrouw;45-59;289
Hoofd-halskanker;2010;Vrouw;30-44;39
Hoofd-halskanker;2010;Vrouw;60-74;406
Hoofd-halskanker;2010;Vrouw;15-29;7
Hoofd-halskanker;2010;Vrouw;Totaal;966
Hoofd-halskanker;2011;Vrouw;Totaal;1020
Hoofd-halskanker;2011;Vrouw;75+;250
Hoofd-halskanker;2011;Vrouw;45-59;266
Hoofd-halskanker;2011;Vrouw;0-14;3
Hoofd-halskanker;2011;Vrouw;60-74;444
Hoofd-halskanker;2011;Vrouw;30-44;48
Hoofd-halskanker;2011;Vrouw;15-29;9
Hoofd-halskanker;2012;Vrouw;Totaal;1025
Hoofd-halskanker;2012;Vrouw;15-29;15
Hoofd-halskanker;2012;Vrouw;0-14;2
Hoofd-halskanker;2012;Vrouw;45-59;226
Hoofd-halskanker;2012;Vrouw;75+;272
Hoofd-halskanker;2012;Vrouw;60-74;458
Hoofd-halskanker;2012;Vrouw;30-44;52
Hoofd-halskanker;2013;Vrouw;0-14;0
Hoofd-halskanker;2013;Vrouw;15-29;10
Hoofd-halskanker;2013;Vrouw;Totaal;1044
Hoofd-halskanker;2013;Vrouw;45-59;258
Hoofd-halskanker;2013;Vrouw;75+;268
Hoofd-halskanker;2013;Vrouw;30-44;30
Hoofd-halskanker;2013;Vrouw;60-74;478
Hoofd-halskanker;2014;Vrouw;0-14;0
Hoofd-halskanker;2014;Vrouw;Totaal;1070
Hoofd-halskanker;2014;Vrouw;45-59;274
Hoofd-halskanker;2014;Vrouw;75+;293
Hoofd-halskanker;2014;Vrouw;30-44;36
Hoofd-halskanker;2014;Vrouw;60-74;459
Hoofd-halskanker;2014;Vrouw;15-29;8
Hoofd-halskanker;2015;Vrouw;0-14;1
Hoofd-halskanker;2015;Vrouw;Totaal;1038
Hoofd-halskanker;2015;Vrouw;75+;263
Hoofd-halskanker;2015;Vrouw;45-59;268
Hoofd-halskanker;2015;Vrouw;30-44;27
Hoofd-halskanker;2015;Vrouw;60-74;471
Hoofd-halskanker;2015;Vrouw;15-29;8
Hoofd-halskanker;2016;Vrouw;0-14;0
Hoofd-halskanker;2016;Vrouw;Totaal;1039
Hoofd-halskanker;2016;Vrouw;45-59;203
Hoofd-halskanker;2016;Vrouw;30-44;30
Hoofd-halskanker;2016;Vrouw;75+;300
Hoofd-halskanker;2016;Vrouw;15-29;5
Hoofd-halskanker;2016;Vrouw;60-74;501
Hoofd-halskanker;2017;Vrouw;0-14;0
Hoofd-halskanker;2017;Vrouw;Totaal;1050
Hoofd-halskanker;2017;Vrouw;15-29;12
Hoofd-halskanker;2017;Vrouw;45-59;223
Hoofd-halskanker;2017;Vrouw;75+;279
Hoofd-halskanker;2017;Vrouw;30-44;38
Hoofd-halskanker;2017;Vrouw;60-74;498
Hoofd-halskanker;2018;Vrouw;Totaal;1082
Hoofd-halskanker;2018;Vrouw;15-29;11
Hoofd-halskanker;2018;Vrouw;0-14;2
Hoofd-halskanker;2018;Vrouw;45-59;230
Hoofd-halskanker;2018;Vrouw;75+;298
Hoofd-halskanker;2018;Vrouw;30-44;36
Hoofd-halskanker;2018;Vrouw;60-74;505
Hoofd-halskanker;1994;Man en vrouw;30-44;146
Hoofd-halskanker;1994;Man en vrouw;0-14;2
Hoofd-halskanker;1994;Man en vrouw;Totaal;2140
Hoofd-halskanker;1994;Man en vrouw;75+;408
Hoofd-halskanker;1994;Man en vrouw;45-59;675
Hoofd-halskanker;1994;Man en vrouw;15-29;9
Hoofd-halskanker;1994;Man en vrouw;60-74;900
Hoofd-halskanker;1995;Man en vrouw;0-14;1
Hoofd-halskanker;1995;Man en vrouw;30-44;157
Hoofd-halskanker;1995;Man en vrouw;Totaal;2234
Hoofd-halskanker;1995;Man en vrouw;75+;430
Hoofd-halskanker;1995;Man en vrouw;45-59;680
Hoofd-halskanker;1995;Man en vrouw;15-29;9
Hoofd-halskanker;1995;Man en vrouw;60-74;957
Hoofd-halskanker;1996;Man en vrouw;30-44;146
Hoofd-halskanker;1996;Man en vrouw;Totaal;2359
Hoofd-halskanker;1996;Man en vrouw;15-29;24
Hoofd-halskanker;1996;Man en vrouw;75+;454
Hoofd-halskanker;1996;Man en vrouw;0-14;6
Hoofd-halskanker;1996;Man en vrouw;45-59;765
Hoofd-halskanker;1996;Man en vrouw;60-74;964
Hoofd-halskanker;1997;Man en vrouw;0-14;1
Hoofd-halskanker;1997;Man en vrouw;30-44;121
Hoofd-halskanker;1997;Man en vrouw;15-29;17
Hoofd-halskanker;1997;Man en vrouw;Totaal;2360
Hoofd-halskanker;1997;Man en vrouw;75+;473
Hoofd-halskanker;1997;Man en vrouw;45-59;785
Hoofd-halskanker;1997;Man en vrouw;60-74;963
Hoofd-halskanker;1998;Man en vrouw;0-14;0
Hoofd-halskanker;1998;Man en vrouw;30-44;134
Hoofd-halskanker;1998;Man en vrouw;15-29;15
Hoofd-halskanker;1998;Man en vrouw;Totaal;2310
Hoofd-halskanker;1998;Man en vrouw;75+;465
Hoofd-halskanker;1998;Man en vrouw;45-59;750
Hoofd-halskanker;1998;Man en vrouw;60-74;946
Hoofd-halskanker;1999;Man en vrouw;30-44;108
Hoofd-halskanker;1999;Man en vrouw;15-29;22
Hoofd-halskanker;1999;Man en vrouw;Totaal;2386
Hoofd-halskanker;1999;Man en vrouw;0-14;3
Hoofd-halskanker;1999;Man en vrouw;75+;480
Hoofd-halskanker;1999;Man en vrouw;45-59;780
Hoofd-halskanker;1999;Man en vrouw;60-74;993
Hoofd-halskanker;2000;Man en vrouw;0-14;1
Hoofd-halskanker;2000;Man en vrouw;60-74;1009
Hoofd-halskanker;2000;Man en vrouw;30-44;123
Hoofd-halskanker;2000;Man en vrouw;15-29;19
Hoofd-halskanker;2000;Man en vrouw;Totaal;2463
Hoofd-halskanker;2000;Man en vrouw;75+;464
Hoofd-halskanker;2000;Man en vrouw;45-59;847
Hoofd-halskanker;2001;Man en vrouw;30-44;144
Hoofd-halskanker;2001;Man en vrouw;Totaal;2471
Hoofd-halskanker;2001;Man en vrouw;15-29;26
Hoofd-halskanker;2001;Man en vrouw;75+;506
Hoofd-halskanker;2001;Man en vrouw;0-14;8
Hoofd-halskanker;2001;Man en vrouw;45-59;809
Hoofd-halskanker;2001;Man en vrouw;60-74;978
Hoofd-halskanker;2002;Man en vrouw;30-44;127
Hoofd-halskanker;2002;Man en vrouw;15-29;16
Hoofd-halskanker;2002;Man en vrouw;Totaal;2384
Hoofd-halskanker;2002;Man en vrouw;75+;437
Hoofd-halskanker;2002;Man en vrouw;0-14;5
Hoofd-halskanker;2002;Man en vrouw;45-59;866
Hoofd-halskanker;2002;Man en vrouw;60-74;933
Hoofd-halskanker;2003;Man en vrouw;60-74;1008
Hoofd-halskanker;2003;Man en vrouw;15-29;14
Hoofd-halskanker;2003;Man en vrouw;30-44;144
Hoofd-halskanker;2003;Man en vrouw;0-14;2
Hoofd-halskanker;2003;Man en vrouw;Totaal;2538
Hoofd-halskanker;2003;Man en vrouw;75+;507
Hoofd-halskanker;2003;Man en vrouw;45-59;863
Hoofd-halskanker;2004;Man en vrouw;30-44;153
Hoofd-halskanker;2004;Man en vrouw;15-29;19
Hoofd-halskanker;2004;Man en vrouw;Totaal;2569
Hoofd-halskanker;2004;Man en vrouw;0-14;3
Hoofd-halskanker;2004;Man en vrouw;75+;514
Hoofd-halskanker;2004;Man en vrouw;45-59;886
Hoofd-halskanker;2004;Man en vrouw;60-74;994
Hoofd-halskanker;2005;Man en vrouw;0-14;1
Hoofd-halskanker;2005;Man en vrouw;60-74;1115
Hoofd-halskanker;2005;Man en vrouw;30-44;119
Hoofd-halskanker;2005;Man en vrouw;15-29;15
Hoofd-halskanker;2005;Man en vrouw;Totaal;2681
Hoofd-halskanker;2005;Man en vrouw;75+;529
Hoofd-halskanker;2005;Man en vrouw;45-59;902
Hoofd-halskanker;2006;Man en vrouw;30-44;109
Hoofd-halskanker;2006;Man en vrouw;60-74;1138
Hoofd-halskanker;2006;Man en vrouw;15-29;18
Hoofd-halskanker;2006;Man en vrouw;0-14;2
Hoofd-halskanker;2006;Man en vrouw;Totaal;2665
Hoofd-halskanker;2006;Man en vrouw;75+;571
Hoofd-halskanker;2006;Man en vrouw;45-59;827
Hoofd-halskanker;2007;Man en vrouw;60-74;1112
Hoofd-halskanker;2007;Man en vrouw;30-44;132
Hoofd-halskanker;2007;Man en vrouw;0-14;2
Hoofd-halskanker;2007;Man en vrouw;15-29;20
Hoofd-halskanker;2007;Man en vrouw;Totaal;2663
Hoofd-halskanker;2007;Man en vrouw;75+;589
Hoofd-halskanker;2007;Man en vrouw;45-59;808
Hoofd-halskanker;2008;Man en vrouw;60-74;1292
Hoofd-halskanker;2008;Man en vrouw;30-44;134
Hoofd-halskanker;2008;Man en vrouw;15-29;26
Hoofd-halskanker;2008;Man en vrouw;Totaal;2885
Hoofd-halskanker;2008;Man en vrouw;0-14;5
Hoofd-halskanker;2008;Man en vrouw;75+;574
Hoofd-halskanker;2008;Man en vrouw;45-59;854
Hoofd-halskanker;2009;Man en vrouw;30-44;114
Hoofd-halskanker;2009;Man en vrouw;60-74;1295
Hoofd-halskanker;2009;Man en vrouw;0-14;2
Hoofd-halskanker;2009;Man en vrouw;15-29;24
Hoofd-halskanker;2009;Man en vrouw;Totaal;2930
Hoofd-halskanker;2009;Man en vrouw;75+;614
Hoofd-halskanker;2009;Man en vrouw;45-59;881
Hoofd-halskanker;2010;Man en vrouw;30-44;123
Hoofd-halskanker;2010;Man en vrouw;60-74;1350
Hoofd-halskanker;2010;Man en vrouw;15-29;17
Hoofd-halskanker;2010;Man en vrouw;0-14;2
Hoofd-halskanker;2010;Man en vrouw;Totaal;2927
Hoofd-halskanker;2010;Man en vrouw;75+;602
Hoofd-halskanker;2010;Man en vrouw;45-59;833
Hoofd-halskanker;2011;Man en vrouw;30-44;133
Hoofd-halskanker;2011;Man en vrouw;60-74;1426
Hoofd-halskanker;2011;Man en vrouw;15-29;19
Hoofd-halskanker;2011;Man en vrouw;0-14;3
Hoofd-halskanker;2011;Man en vrouw;Totaal;3111
Hoofd-halskanker;2011;Man en vrouw;75+;682
Hoofd-halskanker;2011;Man en vrouw;45-59;848
Hoofd-halskanker;2012;Man en vrouw;30-44;109
Hoofd-halskanker;2012;Man en vrouw;60-74;1444
Hoofd-halskanker;2012;Man en vrouw;15-29;18
Hoofd-halskanker;2012;Man en vrouw;0-14;2
Hoofd-halskanker;2012;Man en vrouw;Totaal;3056
Hoofd-halskanker;2012;Man en vrouw;75+;668
Hoofd-halskanker;2012;Man en vrouw;45-59;815
Hoofd-halskanker;2013;Man en vrouw;0-14;0
Hoofd-halskanker;2013;Man en vrouw;60-74;1465
Hoofd-halskanker;2013;Man en vrouw;15-29;25
Hoofd-halskanker;2013;Man en vrouw;Totaal;3027
Hoofd-halskanker;2013;Man en vrouw;75+;653
Hoofd-halskanker;2013;Man en vrouw;45-59;791
Hoofd-halskanker;2013;Man en vrouw;30-44;93
Hoofd-halskanker;2014;Man en vrouw;0-14;0
Hoofd-halskanker;2014;Man en vrouw;60-74;1464
Hoofd-halskanker;2014;Man en vrouw;15-29;20
Hoofd-halskanker;2014;Man en vrouw;Totaal;3092
Hoofd-halskanker;2014;Man en vrouw;75+;720
Hoofd-halskanker;2014;Man en vrouw;45-59;793
Hoofd-halskanker;2014;Man en vrouw;30-44;95
Hoofd-halskanker;2015;Man en vrouw;60-74;1510
Hoofd-halskanker;2015;Man en vrouw;0-14;2
Hoofd-halskanker;2015;Man en vrouw;15-29;21
Hoofd-halskanker;2015;Man en vrouw;Totaal;3083
Hoofd-halskanker;2015;Man en vrouw;75+;695
Hoofd-halskanker;2015;Man en vrouw;45-59;767
Hoofd-halskanker;2015;Man en vrouw;30-44;88
Hoofd-halskanker;2016;Man en vrouw;0-14;0
Hoofd-halskanker;2016;Man en vrouw;15-29;14
Hoofd-halskanker;2016;Man en vrouw;60-74;1607
Hoofd-halskanker;2016;Man en vrouw;Totaal;3141
Hoofd-halskanker;2016;Man en vrouw;45-59;711
Hoofd-halskanker;2016;Man en vrouw;75+;733
Hoofd-halskanker;2016;Man en vrouw;30-44;76
Hoofd-halskanker;2017;Man en vrouw;0-14;1
Hoofd-halskanker;2017;Man en vrouw;60-74;1544
Hoofd-halskanker;2017;Man en vrouw;15-29;20
Hoofd-halskanker;2017;Man en vrouw;Totaal;3089
Hoofd-halskanker;2017;Man en vrouw;45-59;691
Hoofd-halskanker;2017;Man en vrouw;75+;740
Hoofd-halskanker;2017;Man en vrouw;30-44;93
Hoofd-halskanker;2018;Man en vrouw;60-74;1554
Hoofd-halskanker;2018;Man en vrouw;15-29;21
Hoofd-halskanker;2018;Man en vrouw;Totaal;3139
Hoofd-halskanker;2018;Man en vrouw;0-14;5
Hoofd-halskanker;2018;Man en vrouw;45-59;688
Hoofd-halskanker;2018;Man en vrouw;75+;786
Hoofd-halskanker;2018;Man en vrouw;30-44;85
Kanker van de spijsverteringsorganen;1994;Man;45-59;1365
Kanker van de spijsverteringsorganen;1994;Man;75+;2282
Kanker van de spijsverteringsorganen;1994;Man;30-44;239
Kanker van de spijsverteringsorganen;1994;Man;15-29;32
Kanker van de spijsverteringsorganen;1994;Man;60-74;3506
Kanker van de spijsverteringsorganen;1994;Man;0-14;4
Kanker van de spijsverteringsorganen;1994;Man;Totaal;7428
Kanker van de spijsverteringsorganen;1995;Man;45-59;1404
Kanker van de spijsverteringsorganen;1995;Man;30-44;222
Kanker van de spijsverteringsorganen;1995;Man;75+;2336
Kanker van de spijsverteringsorganen;1995;Man;15-29;28
Kanker van de spijsverteringsorganen;1995;Man;60-74;3479
